method	trait_arm	discovery_ancestry	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	slope_PC1	within_stratum	EURlike	5665	4676	0.03562858976705	0.0132446101969466	0.0071667791271357			8	0.0573342330170858
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	slope_PC1	within_stratum	EURlike	5665	4676	0.0308439073948213	0.0134325704074359	0.0217032766586517			8	0.173626213269213
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	slope_PC1	within_stratum	EURlike	5665	4676	0.0323258970878913	0.0135135084103569	0.0167861884949422			8	0.134289507959538
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	slope_PC1	within_stratum	EURlike	5665	4676	0.0315625332098704	0.0136798305457638	0.0210807266692587			8	0.168645813354069
CT	SCZ25_EUR	EUR	SCZ25EUR	1	slope_PC1	within_stratum	EURlike	5665	4676	0.0323914041495075	0.0136824917300823	0.0179515716222266			8	0.143612572977813
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	slope_PC1	within_stratum	EURlike	5665	4676	0.0243262552234686	0.0131581850304786	0.0645489019217461			8	0.516391215373969
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	slope_PC1	within_stratum	EURlike	5665	4676	0.0121975252572614	0.0131190089460329	0.352537715658469			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	slope_PC1	within_stratum	cluster1	1623	1397	0.0074978444888644	0.0248282825292417	0.762701365638708			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	slope_PC1	within_stratum	cluster1	1623	1397	0.0342122997181249	0.0263470281922376	0.19429889628729			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	slope_PC1	within_stratum	cluster1	1623	1397	0.0502594830803991	0.0286139906414279	0.0792058044005625			8	0.6336464352045
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	slope_PC1	within_stratum	cluster1	1623	1397	0.0670913088759458	0.0298118651181276	0.0245566570480636			8	0.196453256384509
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	slope_PC1	within_stratum	cluster1	1623	1397	0.0608739736123161	0.0311959630199071	0.0511962981752487			8	0.40957038540199
CT	SCZ25_EUR	EUR	SCZ25EUR	1	slope_PC1	within_stratum	cluster1	1623	1397	0.0698719871884496	0.0311817899395759	0.0251809375782727			8	0.201447500626182
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	slope_PC1	within_stratum	cluster1	1623	1397	0.0047023807844091	0.0247434833483277	0.849298546182295			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	slope_PC1	within_stratum	cluster1	1623	1397	-0.0148177914066183	0.0243825038724653	0.543461428995174			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	slope_PC1	within_stratum	cluster2	928	824	0.0208895594248736	0.03264390448695	0.522383544153433			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	slope_PC1	within_stratum	cluster2	928	824	0.0325261494175243	0.0332106868696209	0.327647442668021			8	1.0
