"label","region","view","x","y","group","subgroup"
"lh_43","43","lateral",196.685975478125,70.0614148125,1,1
"lh_43","43","lateral",196.778327603125,70.17832753125,1,1
"lh_43","43","lateral",196.819664978125,70.31231384375,1,1
"lh_43","43","lateral",196.809987603125,70.46337375,1,1
"lh_43","43","lateral",196.749295478125,70.63150725,1,1
"lh_43","43","lateral",196.689538384375,70.80665209375,1,1
"lh_43","43","lateral",196.630716321875,70.98880828125,1,1
"lh_43","43","lateral",196.572829290625,71.1779758125,1,1
"lh_43","43","lateral",196.515877290625,71.3741546875,1,1
"lh_43","43","lateral",196.462477134375,71.56898371875,1,1
"lh_43","43","lateral",196.412628821875,71.76246290625,1,1
"lh_43","43","lateral",196.366332353125,71.95459225,1,1
"lh_43","43","lateral",196.323587728125,72.14537175,1,1
"lh_43","43","lateral",196.282431571875,72.3401876875,1,1
"lh_43","43","lateral",196.242863884375,72.5390400625,1,1
"lh_43","43","lateral",196.204884665625,72.741928875,1,1
"lh_43","43","lateral",196.168493915625,72.948854125,1,1
"lh_43","43","lateral",196.134107603125,73.16185278125,1,1
"lh_43","43","lateral",196.101725728125,73.38092484375,1,1
"lh_43","43","lateral",196.071348290625,73.6060703125,1,1
"lh_43","43","lateral",196.042975290625,73.8372891875,1,1
"lh_43","43","lateral",196.016770321875,74.0716235,1,1
"lh_43","43","lateral",195.992733384375,74.30907325,1,1
"lh_43","43","lateral",195.970864478125,74.5496384375,1,1
"lh_43","43","lateral",195.951163603125,74.7933190625,1,1
"lh_43","43","lateral",195.958063623958,75.0079714270833,1,1
"lh_43","43","lateral",195.991564540625,75.19359553125,1,1
"lh_43","43","lateral",196.051666353125,75.350191375,1,1
"lh_43","43","lateral",196.138369061458,75.4777589583333,1,1
"lh_43","43","lateral",196.244629446875,75.5745591875,1,1
"lh_43","43","lateral",196.370447509375,75.6405920625,1,1
"lh_43","43","lateral",196.515823248958,75.6758575833333,1,1
"lh_43","43","lateral",196.680756665625,75.68035575,1,1
"lh_43","43","lateral",196.843957644792,75.68417075,1,1
