method	trait_arm	discovery_ancestry	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	slope_PC1	within_stratum	EURlike	5665	4676	-0.0430785080685496	0.0134383426391221	0.0013556815510357			8	0.0108454524082861
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	slope_PC1	within_stratum	EURlike	5665	4676	-0.0360417104976746	0.0136305530430354	0.0082130530161784			8	0.0657044241294275
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	slope_PC1	within_stratum	EURlike	5665	4676	-0.0420594164016916	0.0137097865345713	0.0021670563954135			8	0.0173364511633081
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	slope_PC1	within_stratum	EURlike	5665	4676	-0.0451763500643065	0.0138766513598504	0.0011388775273946			8	0.0091110202191569
CT	SCZ25_EUR	EUR	SCZ25EUR	1	slope_PC1	within_stratum	EURlike	5665	4676	-0.0456845826493438	0.0138794169366459	0.0010030392877503			8	0.0080243143020029
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	slope_PC1	within_stratum	EURlike	5665	4676	-0.0389634708848668	0.0133479139489944	0.0035255985069231			8	0.0282047880553848
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	slope_PC1	within_stratum	EURlike	5665	4676	-0.0270957854196772	0.0133106484030651	0.0418353034279419			8	0.334682427423535
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	slope_PC1	within_stratum	cluster1	1623	1397	-0.0097501491469986	0.0253155882800772	0.700182198046978			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	slope_PC1	within_stratum	cluster1	1623	1397	-0.0373676592506189	0.0268734730106787	0.164571365767733			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	slope_PC1	within_stratum	cluster1	1623	1397	-0.0512637889617164	0.0291937123707457	0.0792842686660396			8	0.634274149328316
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	slope_PC1	within_stratum	cluster1	1623	1397	-0.0670792061763448	0.0304088578441428	0.0275334521747753			8	0.220267617398202
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	slope_PC1	within_stratum	cluster1	1623	1397	-0.0649487267785336	0.0318309134047074	0.041473766336146			8	0.331790130689168
