phenotype,x_lo,x_hi,y_lo,y_hi,count
global,-0.02024041004745582,-0.020019822169420106,-0.022298854441358387,-0.021935897865039838,11
global,-0.02024041004745582,-0.020019822169420106,-0.021935897865039838,-0.021572941288721288,30
global,-0.02024041004745582,-0.020019822169420106,-0.021572941288721288,-0.021209984712402742,39
global,-0.02024041004745582,-0.020019822169420106,-0.021209984712402742,-0.020847028136084196,46
global,-0.02024041004745582,-0.020019822169420106,-0.020847028136084196,-0.020484071559765643,53
global,-0.02024041004745582,-0.020019822169420106,-0.020484071559765643,-0.020121114983447097,39
global,-0.02024041004745582,-0.020019822169420106,-0.020121114983447097,-0.01975815840712855,33
global,-0.02024041004745582,-0.020019822169420106,-0.01975815840712855,-0.019395201830809998,33
global,-0.02024041004745582,-0.020019822169420106,-0.019395201830809998,-0.019032245254491452,15
global,-0.02024041004745582,-0.020019822169420106,-0.019032245254491452,-0.018669288678172906,10
global,-0.02024041004745582,-0.020019822169420106,-0.018669288678172906,-0.018306332101854353,7
global,-0.02024041004745582,-0.020019822169420106,-0.018306332101854353,-0.017943375525535807,2
global,-0.020019822169420106,-0.019799234291384395,-0.024476593899269677,-0.024113637322951128,1
global,-0.020019822169420106,-0.019799234291384395,-0.024113637322951128,-0.02375068074663258,1
global,-0.020019822169420106,-0.019799234291384395,-0.023387724170314032,-0.023024767593995483,2
global,-0.020019822169420106,-0.019799234291384395,-0.023024767593995483,-0.022661811017676933,1
global,-0.020019822169420106,-0.019799234291384395,-0.022298854441358387,-0.021935897865039838,3
global,-0.020019822169420106,-0.019799234291384395,-0.021935897865039838,-0.021572941288721288,13
global,-0.020019822169420106,-0.019799234291384395,-0.021572941288721288,-0.021209984712402742,29
global,-0.020019822169420106,-0.019799234291384395,-0.021209984712402742,-0.020847028136084196,42
global,-0.020019822169420106,-0.019799234291384395,-0.020847028136084196,-0.020484071559765643,54
global,-0.020019822169420106,-0.019799234291384395,-0.020484071559765643,-0.020121114983447097,73
global,-0.020019822169420106,-0.019799234291384395,-0.020121114983447097,-0.01975815840712855,66
global,-0.020019822169420106,-0.019799234291384395,-0.01975815840712855,-0.019395201830809998,43
global,-0.020019822169420106,-0.019799234291384395,-0.019395201830809998,-0.019032245254491452,34
global,-0.020019822169420106,-0.019799234291384395,-0.019032245254491452,-0.018669288678172906,23
global,-0.020019822169420106,-0.019799234291384395,-0.018669288678172906,-0.018306332101854353,8
global,-0.020019822169420106,-0.019799234291384395,-0.018306332101854353,-0.017943375525535807,6
global,-0.020019822169420106,-0.019799234291384395,-0.017943375525535807,-0.01758041894921726,2
global,-0.020019822169420106,-0.019799234291384395,-0.017217462372898708,-0.016854505796580162,1
global,-0.019799234291384395,-0.01957864641334868,-0.022661811017676933,-0.022298854441358387,1
global,-0.019799234291384395,-0.01957864641334868,-0.022298854441358387,-0.021935897865039838,5
global,-0.019799234291384395,-0.01957864641334868,-0.021935897865039838,-0.021572941288721288,5
global,-0.019799234291384395,-0.01957864641334868,-0.021572941288721288,-0.021209984712402742,22
global,-0.019799234291384395,-0.01957864641334868,-0.021209984712402742,-0.020847028136084196,26
global,-0.019799234291384395,-0.01957864641334868,-0.020847028136084196,-0.020484071559765643,53
