sample	outcome	score	adjust	beta	se	p	n	y_sd_beta
>=3 scans	rulebreak	ct_grad_slope	+global	-0.0074403	0.0073763	0.31313	6386	-0.012127
>=3 scans	rulebreak	glob_thin	base	0.023201	0.007424	0.0017772	6386	0.037816
>=3 scans	pfactor	grad_slope	base	-0.027164	0.021494	0.2063	6373	-0.012393
>=3 scans	pfactor	grad_slope	+global	-0.04782	0.022419	0.032921	6373	-0.021818
>=3 scans	pfactor	grad_slope	+global+CT	-0.061711	0.023074	0.0074859	6373	-0.028155
>=3 scans	pfactor	grad_slope	+global+CT+QC	-0.060042	0.023266	0.0098594	6373	-0.027394
>=3 scans	pfactor	grad_fit	base	-0.03982	0.026825	0.1377	6373	-0.018168
>=3 scans	pfactor	grad_fit	+global	-0.056872	0.027247	0.036861	6373	-0.025948
>=3 scans	pfactor	grad_fit	+global+CT	-0.055834	0.027217	0.040225	6373	-0.025474
>=3 scans	pfactor	grad_fit	+global+CT+QC	-0.063754	0.027819	0.021919	6373	-0.029088
>=3 scans	pfactor	pls2_beyond_grad	base	0.012377	0.020525	0.5465	6373	0.0056468
>=3 scans	pfactor	pls2_beyond_grad	+global	0.015311	0.020512	0.45539	6373	0.0069856
>=3 scans	pfactor	pls2_beyond_grad	+global+CT	0.032843	0.02163	0.12892	6373	0.014985
>=3 scans	pfactor	pls2_beyond_grad	+global+CT+QC	0.032538	0.021629	0.1325	6373	0.014845
>=3 scans	pfactor	ct_grad_slope	base	-0.027392	0.022721	0.22799	6373	-0.012497
>=3 scans	pfactor	ct_grad_slope	+global	-0.040789	0.023313	0.080189	6373	-0.01861
>=3 scans	pfactor	glob_thin	base	0.056292	0.023846	0.018242	6373	0.025683
