outcome	brain	adj_global	model	beta	se	p	n	n_cases	y_sd_beta	source
somaticpr	pls2_top	True	y3	-0.016958	0.008563	0.047657	8070		-0.028812	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_top	True	late	-0.025977	0.0077974	0.00086369	8193		-0.047767	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_top	True	change	-0.025202	0.0068979	0.00025862	8192		-0.046342	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_top	True	trajectory	-0.0016795	0.0013289	0.20628	8554		-0.016915	7.0 p/mh_p_cbcl.tsv
adhd	pls2_top	True	base	0.024715	0.0114	0.03016	8715		0.030388	7.0 p/mh_p_cbcl.tsv
adhd	pls2_top	True	y3	0.01089	0.011487	0.34312	8070		0.013774	7.0 p/mh_p_cbcl.tsv
adhd	pls2_top	True	late	0.0063643	0.010193	0.53236	8192		0.0089937	7.0 p/mh_p_cbcl.tsv
adhd	pls2_top	True	change	-0.0079352	0.008296	0.33882	8191		-0.011214	7.0 p/mh_p_cbcl.tsv
adhd	pls2_top	True	trajectory	-0.0031671	0.0015554	0.041732	8554		-0.027859	7.0 p/mh_p_cbcl.tsv
opposit	pls2_top	True	base	0.0082267	0.010026	0.4119	8715		0.011666	7.0 p/mh_p_cbcl.tsv
opposit	pls2_top	True	y3	-0.011743	0.010205	0.24985	8069		-0.017134	7.0 p/mh_p_cbcl.tsv
opposit	pls2_top	True	late	-0.001717	0.0088576	0.8463	8193		-0.00289	7.0 p/mh_p_cbcl.tsv
opposit	pls2_top	True	change	-0.0067468	0.0073212	0.35677	8192		-0.011356	7.0 p/mh_p_cbcl.tsv
opposit	pls2_top	True	trajectory	-0.0011029	0.0014009	0.43113	8554		-0.010836	7.0 p/mh_p_cbcl.tsv
conduct	pls2_top	True	base	0.0018008	0.0097986	0.85419	8715		0.0026206	7.0 p/mh_p_cbcl.tsv
conduct	pls2_top	True	y3	-0.00058271	0.0098922	0.95303	8069		-0.00086773	7.0 p/mh_p_cbcl.tsv
conduct	pls2_top	True	late	0.0013127	0.0090971	0.88527	8187		0.0021527	7.0 p/mh_p_cbcl.tsv
conduct	pls2_top	True	change	-0.00014073	0.0075552	0.98514	8186		-0.00023078	7.0 p/mh_p_cbcl.tsv
conduct	pls2_top	True	trajectory	-0.00070909	0.0014337	0.6209	8554		-0.0067855	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_top	True	base	0.042137	0.032776	0.19859	8715		0.018128	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_top	True	y3	-0.035061	0.034734	0.31279	8068		-0.015006	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_top	True	late	-0.040837	0.032582	0.21007	8163		-0.018421	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_top	True	change	-0.06976	0.025017	0.0052962	8162		-0.031469	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_top	True	trajectory	-0.0086958	0.0044841	0.052469	8549		-0.026318	7.0 p/mh_p_cbcl.tsv
totprob_clin	pls2_top	True	clinical_logit	-0.058743	0.054866	0.28432	8188	663		7.0 p/mh_p_cbcl.tsv
internal_clin	pls2_top	True	clinical_logit	-0.091896	0.042379	0.030124	8190	1256		7.0 p/mh_p_cbcl.tsv
external_clin	pls2_top	True	clinical_logit	-0.0025715	0.072633	0.97176	8186	395		7.0 p/mh_p_cbcl.tsv
depress_clin	pls2_top	True	clinical_logit	-0.047164	0.040511	0.24433	6760	1401		7.0 p/mh_p_cbcl.tsv
mdd_youth_DX	pls2_top	True	ksads_logit	-0.095707	0.042992	0.026001	8716	1111		7.0 p/mh_p_cbcl.tsv
mdd_parent_DX	pls2_top	True	ksads_logit	-0.065115	0.050303	0.19551	8716	791		7.0 p/mh_p_cbcl.tsv
psychosis_parent_DX	pls2_top	True	ksads_logit	-0.016389	0.070386	0.81588	8716	398		7.0 p/mh_p_cbcl.tsv
anxdep	pls2_topbottom	False	base	0.0085892	0.0085715	0.31631	8715		0.010862	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_topbottom	False	y3	-0.0041624	0.00875	0.63429	8069		-0.0052587	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_topbottom	False	late	-0.012119	0.0078179	0.12109	8185		-0.016743	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_topbottom	False	change	-0.015983	0.0066513	0.016262	8184		-0.02208	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_topbottom	False	trajectory	-0.0018759	0.0012352	0.12883	8553		-0.015583	7.0 p/mh_p_cbcl.tsv
withdep	pls2_topbottom	False	base	0.0057596	0.0065428	0.3787	8715		0.0093817	7.0 p/mh_p_cbcl.tsv
withdep	pls2_topbottom	False	y3	-0.0050086	0.0077603	0.51866	8070		-0.0071154	7.0 p/mh_p_cbcl.tsv
withdep	pls2_topbottom	False	late	-0.0034897	0.0073761	0.63614	8190		-0.0052859	7.0 p/mh_p_cbcl.tsv
withdep	pls2_topbottom	False	change	-0.0068152	0.0065977	0.30162	8189		-0.010323	7.0 p/mh_p_cbcl.tsv
withdep	pls2_topbottom	False	trajectory	-0.00026101	0.0011927	0.82678	8552		-0.0023258	7.0 p/mh_p_cbcl.tsv
somatic	pls2_topbottom	False	base	0.00088424	0.0072465	0.90288	8715		0.0013211	7.0 p/mh_p_cbcl.tsv
somatic	pls2_topbottom	False	y3	-0.0047302	0.0073785	0.52147	8070		-0.0071145	7.0 p/mh_p_cbcl.tsv
somatic	pls2_topbottom	False	late	-0.0194	0.0067613	0.0041139	8183		-0.030886	7.0 p/mh_p_cbcl.tsv
somatic	pls2_topbottom	False	change	-0.020711	0.0060063	0.0005642	8182		-0.032974	7.0 p/mh_p_cbcl.tsv
somatic	pls2_topbottom	False	trajectory	-0.001707	0.0011526	0.13859	8552		-0.015507	7.0 p/mh_p_cbcl.tsv
social	pls2_topbottom	False	base	-0.0011613	0.0076385	0.87916	8715		-0.001641	7.0 p/mh_p_cbcl.tsv
social	pls2_topbottom	False	y3	-0.0078996	0.0072878	0.27839	8068		-0.012048	7.0 p/mh_p_cbcl.tsv
social	pls2_topbottom	False	late	-0.0097347	0.0061879	0.11567	8182		-0.017391	7.0 p/mh_p_cbcl.tsv
social	pls2_topbottom	False	change	-0.0089618	0.0053505	0.093946	8181		-0.01601	7.0 p/mh_p_cbcl.tsv
social	pls2_topbottom	False	trajectory	-0.00057688	0.0010809	0.59354	8552		-0.0056558	7.0 p/mh_p_cbcl.tsv
thought	pls2_topbottom	False	base	0.0017186	0.0073815	0.8159	8715		0.0025074	7.0 p/mh_p_cbcl.tsv
thought	pls2_topbottom	False	y3	-0.00023989	0.0075191	0.97455	8070		-0.00035582	7.0 p/mh_p_cbcl.tsv
thought	pls2_topbottom	False	late	-0.0056524	0.0067177	0.40011	8184		-0.0093822	7.0 p/mh_p_cbcl.tsv
thought	pls2_topbottom	False	change	-0.0067332	0.0057179	0.23898	8183		-0.011176	7.0 p/mh_p_cbcl.tsv
thought	pls2_topbottom	False	trajectory	-0.00062589	0.0010747	0.56032	8553		-0.0060619	7.0 p/mh_p_cbcl.tsv
attention	pls2_topbottom	False	base	0.019146	0.0093703	0.041031	8715		0.022234	7.0 p/mh_p_cbcl.tsv
attention	pls2_topbottom	False	y3	0.0072986	0.0094114	0.43804	8070		0.0085928	7.0 p/mh_p_cbcl.tsv
attention	pls2_topbottom	False	late	0.004432	0.0086235	0.60729	8189		0.0056588	7.0 p/mh_p_cbcl.tsv
attention	pls2_topbottom	False	change	-0.0069928	0.007059	0.32187	8188		-0.0089284	7.0 p/mh_p_cbcl.tsv
attention	pls2_topbottom	False	trajectory	-0.0025206	0.0013055	0.053502	8554		-0.020694	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_topbottom	False	base	-0.0048849	0.0068469	0.47556	8715		-0.0076706	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_topbottom	False	y3	-0.0063509	0.0071065	0.3715	8069		-0.0098759	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_topbottom	False	late	-0.0033012	0.0068168	0.62819	8183		-0.0052755	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_topbottom	False	change	-0.0010663	0.0060032	0.85902	8182		-0.001704	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_topbottom	False	trajectory	0.00088994	0.0011286	0.43037	8553		0.0083934	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_topbottom	False	base	0.0017507	0.0095963	0.85524	8715		0.0019516	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_topbottom	False	y3	-0.0061355	0.0097837	0.53058	8069		-0.0070276	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_topbottom	False	late	-0.0094216	0.0084346	0.26399	8193		-0.012446	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_topbottom	False	change	-0.011125	0.0068801	0.10588	8192		-0.014696	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_topbottom	False	trajectory	-0.00046181	0.0013332	0.72904	8554		-0.0036644	7.0 p/mh_p_cbcl.tsv
totprob	pls2_topbottom	False	base	0.0090055	0.011063	0.41561	8715		0.0087617	7.0 p/mh_p_cbcl.tsv
totprob	pls2_topbottom	False	y3	-0.011508	0.01221	0.3459	8069		-0.01056	7.0 p/mh_p_cbcl.tsv
totprob	pls2_topbottom	False	late	-0.013869	0.012003	0.24789	8188		-0.012933	7.0 p/mh_p_cbcl.tsv
totprob	pls2_topbottom	False	change	-0.020656	0.0093509	0.027178	8187		-0.019261	7.0 p/mh_p_cbcl.tsv
totprob	pls2_topbottom	False	trajectory	-0.0015837	0.0016364	0.33315	8553		-0.010103	7.0 p/mh_p_cbcl.tsv
internal	pls2_topbottom	False	base	0.011175	0.009733	0.25088	8715		0.012399	7.0 p/mh_p_cbcl.tsv
internal	pls2_topbottom	False	y3	-0.0063012	0.010438	0.54606	8069		-0.0067027	7.0 p/mh_p_cbcl.tsv
internal	pls2_topbottom	False	late	-0.015496	0.0097537	0.11212	8190		-0.017322	7.0 p/mh_p_cbcl.tsv
internal	pls2_topbottom	False	change	-0.022186	0.008127	0.0063354	8189		-0.0248	7.0 p/mh_p_cbcl.tsv
internal	pls2_topbottom	False	trajectory	-0.0020478	0.0014561	0.15963	8554		-0.014427	7.0 p/mh_p_cbcl.tsv
external	pls2_topbottom	False	base	-0.00029158	0.010392	0.97761	8715		-0.00030156	7.0 p/mh_p_cbcl.tsv
external	pls2_topbottom	False	y3	-0.0078676	0.010739	0.4638	8069		-0.0081812	7.0 p/mh_p_cbcl.tsv
external	pls2_topbottom	False	late	-0.010114	0.0096379	0.29402	8186		-0.0116	7.0 p/mh_p_cbcl.tsv
external	pls2_topbottom	False	change	-0.010656	0.0078105	0.17246	8185		-0.012222	7.0 p/mh_p_cbcl.tsv
external	pls2_topbottom	False	trajectory	-3.6499e-05	0.0014853	0.9804	8554		-0.00026051	7.0 p/mh_p_cbcl.tsv
depress	pls2_topbottom	False	base	0.0022482	0.007158	0.75346	8715		0.00338	7.0 p/mh_p_cbcl.tsv
depress	pls2_topbottom	False	y3	-0.015712	0.0083285	0.059225	8069		-0.02115	7.0 p/mh_p_cbcl.tsv
depress	pls2_topbottom	False	late	-0.0098844	0.0077579	0.20262	8182		-0.013995	7.0 p/mh_p_cbcl.tsv
depress	pls2_topbottom	False	change	-0.010855	0.0068934	0.11533	8181		-0.015369	7.0 p/mh_p_cbcl.tsv
depress	pls2_topbottom	False	trajectory	-0.00076106	0.0012377	0.53861	8552		-0.0063993	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_topbottom	False	base	0.0076719	0.0078915	0.33097	8715		0.010488	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_topbottom	False	y3	-8.9184e-05	0.0080518	0.99116	8069		-0.00012337	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_topbottom	False	late	-0.010196	0.0070912	0.15047	8186		-0.015704	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_topbottom	False	change	-0.013284	0.0060329	0.027676	8185		-0.02046	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_topbottom	False	trajectory	-0.0013587	0.001142	0.23412	8553		-0.012325	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_topbottom	False	base	-0.0056658	0.0065363	0.38604	8715		-0.0093561	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_topbottom	False	y3	-0.0055101	0.0065306	0.39882	8070		-0.0093618	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_topbottom	False	late	-0.016152	0.0058783	0.0059996	8193		-0.029701	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_topbottom	False	change	-0.014621	0.0052938	0.0057449	8192		-0.026886	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_topbottom	False	trajectory	-0.00092478	0.0010382	0.37305	8554		-0.0093138	7.0 p/mh_p_cbcl.tsv
adhd	pls2_topbottom	False	base	0.014764	0.0087715	0.09234	8715		0.018153	7.0 p/mh_p_cbcl.tsv
adhd	pls2_topbottom	False	y3	0.0102	0.0087822	0.24546	8070		0.012902	7.0 p/mh_p_cbcl.tsv
adhd	pls2_topbottom	False	late	0.0026181	0.007801	0.73717	8192		0.0036998	7.0 p/mh_p_cbcl.tsv
adhd	pls2_topbottom	False	change	-0.0063209	0.0064151	0.32446	8191		-0.0089324	7.0 p/mh_p_cbcl.tsv
adhd	pls2_topbottom	False	trajectory	-0.0019445	0.0012017	0.10563	8554		-0.017104	7.0 p/mh_p_cbcl.tsv
opposit	pls2_topbottom	False	base	0.0032526	0.007618	0.66941	8715		0.0046123	7.0 p/mh_p_cbcl.tsv
opposit	pls2_topbottom	False	y3	-0.0076142	0.0077052	0.32307	8069		-0.011109	7.0 p/mh_p_cbcl.tsv
opposit	pls2_topbottom	False	late	-0.0037826	0.0066351	0.56862	8193		-0.0063668	7.0 p/mh_p_cbcl.tsv
opposit	pls2_topbottom	False	change	-0.0060851	0.0055747	0.27503	8192		-0.010243	7.0 p/mh_p_cbcl.tsv
opposit	pls2_topbottom	False	trajectory	-9.5356e-05	0.0010894	0.93025	8554		-0.00093684	7.0 p/mh_p_cbcl.tsv
conduct	pls2_topbottom	False	base	7.4761e-05	0.0073173	0.99185	8715		0.0001088	7.0 p/mh_p_cbcl.tsv
conduct	pls2_topbottom	False	y3	-0.00047926	0.0074195	0.9485	8069		-0.00071368	7.0 p/mh_p_cbcl.tsv
conduct	pls2_topbottom	False	late	-0.003918	0.0066897	0.5581	8187		-0.0064252	7.0 p/mh_p_cbcl.tsv
conduct	pls2_topbottom	False	change	-0.0040519	0.0057014	0.47728	8186		-0.0066447	7.0 p/mh_p_cbcl.tsv
conduct	pls2_topbottom	False	trajectory	-0.00030566	0.0011066	0.78239	8554		-0.002925	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_topbottom	False	base	0.015309	0.024682	0.53509	8715		0.0065864	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_topbottom	False	y3	-0.015319	0.025652	0.55039	8068		-0.0065565	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_topbottom	False	late	-0.033874	0.024286	0.16308	8163		-0.01528	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_topbottom	False	change	-0.04448	0.018946	0.018889	8162		-0.020065	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_topbottom	False	trajectory	-0.0031985	0.0033852	0.34473	8549		-0.0096805	7.0 p/mh_p_cbcl.tsv
totprob_clin	pls2_topbottom	False	clinical_logit	-0.035357	0.041032	0.38885	8188	663		7.0 p/mh_p_cbcl.tsv
internal_clin	pls2_topbottom	False	clinical_logit	-0.027909	0.031683	0.37838	8190	1256		7.0 p/mh_p_cbcl.tsv
external_clin	pls2_topbottom	False	clinical_logit	-0.033351	0.053068	0.5297	8186	395		7.0 p/mh_p_cbcl.tsv
depress_clin	pls2_topbottom	False	clinical_logit	-0.037663	0.030902	0.22292	6760	1401		7.0 p/mh_p_cbcl.tsv
mdd_youth_DX	pls2_topbottom	False	ksads_logit	-0.037923	0.032866	0.24856	8716	1111		7.0 p/mh_p_cbcl.tsv
mdd_parent_DX	pls2_topbottom	False	ksads_logit	-0.02582	0.036484	0.47912	8716	791		7.0 p/mh_p_cbcl.tsv
psychosis_parent_DX	pls2_topbottom	False	ksads_logit	-0.095604	0.051142	0.061571	8716	398		7.0 p/mh_p_cbcl.tsv
anxdep	pls2_topbottom	True	base	0.008412	0.0085749	0.32659	8715		0.010638	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_topbottom	True	y3	-0.0039491	0.0087547	0.65193	8069		-0.0049892	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_topbottom	True	late	-0.011609	0.0078406	0.13871	8185		-0.016037	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_topbottom	True	change	-0.015318	0.0066775	0.021793	8184		-0.021161	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_topbottom	True	trajectory	-0.0017822	0.0012378	0.14992	8553		-0.014804	7.0 p/mh_p_cbcl.tsv
withdep	pls2_topbottom	True	base	0.0053049	0.0065424	0.41746	8715		0.008641	7.0 p/mh_p_cbcl.tsv
withdep	pls2_topbottom	True	y3	-0.004226	0.0077654	0.58629	8070		-0.0060037	7.0 p/mh_p_cbcl.tsv
withdep	pls2_topbottom	True	late	-0.002744	0.0074002	0.71079	8190		-0.0041563	7.0 p/mh_p_cbcl.tsv
withdep	pls2_topbottom	True	change	-0.0058316	0.006618	0.37822	8189		-0.0088333	7.0 p/mh_p_cbcl.tsv
withdep	pls2_topbottom	True	trajectory	-4.0006e-05	0.0011975	0.97335	8552		-0.00035649	7.0 p/mh_p_cbcl.tsv
somatic	pls2_topbottom	True	base	0.00080558	0.0072625	0.91168	8715		0.0012035	7.0 p/mh_p_cbcl.tsv
somatic	pls2_topbottom	True	y3	-0.0046752	0.0073765	0.52621	8070		-0.0070318	7.0 p/mh_p_cbcl.tsv
somatic	pls2_topbottom	True	late	-0.01934	0.0067825	0.0043518	8183		-0.03079	7.0 p/mh_p_cbcl.tsv
somatic	pls2_topbottom	True	change	-0.020616	0.0060221	0.00061834	8182		-0.032822	7.0 p/mh_p_cbcl.tsv
somatic	pls2_topbottom	True	trajectory	-0.001729	0.001153	0.13372	8552		-0.015706	7.0 p/mh_p_cbcl.tsv
social	pls2_topbottom	True	base	-0.0016675	0.0076465	0.82737	8715		-0.0023563	7.0 p/mh_p_cbcl.tsv
social	pls2_topbottom	True	y3	-0.0079512	0.0072899	0.2754	8068		-0.012126	7.0 p/mh_p_cbcl.tsv
social	pls2_topbottom	True	late	-0.0095125	0.0062029	0.12514	8182		-0.016994	7.0 p/mh_p_cbcl.tsv
social	pls2_topbottom	True	change	-0.008525	0.0053626	0.1119	8181		-0.01523	7.0 p/mh_p_cbcl.tsv
social	pls2_topbottom	True	trajectory	-0.00049522	0.0010825	0.64733	8552		-0.0048552	7.0 p/mh_p_cbcl.tsv
thought	pls2_topbottom	True	base	0.0021052	0.0073906	0.77576	8715		0.0030715	7.0 p/mh_p_cbcl.tsv
thought	pls2_topbottom	True	y3	0.00017107	0.0075205	0.98185	8070		0.00025374	7.0 p/mh_p_cbcl.tsv
thought	pls2_topbottom	True	late	-0.0052196	0.0067268	0.43778	8184		-0.0086639	7.0 p/mh_p_cbcl.tsv
thought	pls2_topbottom	True	change	-0.0063861	0.005726	0.26473	8183		-0.0106	7.0 p/mh_p_cbcl.tsv
thought	pls2_topbottom	True	trajectory	-0.0005699	0.0010763	0.59647	8553		-0.0055196	7.0 p/mh_p_cbcl.tsv
attention	pls2_topbottom	True	base	0.019119	0.009381	0.04155	8715		0.022203	7.0 p/mh_p_cbcl.tsv
attention	pls2_topbottom	True	y3	0.0079644	0.0094306	0.39837	8070		0.0093766	7.0 p/mh_p_cbcl.tsv
attention	pls2_topbottom	True	late	0.0047047	0.0086393	0.58605	8189		0.0060069	7.0 p/mh_p_cbcl.tsv
attention	pls2_topbottom	True	change	-0.0066369	0.0070744	0.34816	8188		-0.008474	7.0 p/mh_p_cbcl.tsv
attention	pls2_topbottom	True	trajectory	-0.0024241	0.0013076	0.063757	8554		-0.019902	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_topbottom	True	base	-0.0045934	0.0068566	0.50291	8715		-0.0072128	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_topbottom	True	y3	-0.0064576	0.0071033	0.3633	8069		-0.010042	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_topbottom	True	late	-0.0023147	0.0068272	0.73458	8183		-0.0036989	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_topbottom	True	change	-0.00018232	0.0060182	0.97583	8182		-0.00029135	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_topbottom	True	trajectory	0.0010586	0.0011336	0.35041	8553		0.0099839	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_topbottom	True	base	0.0023036	0.0096003	0.81037	8715		0.0025678	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_topbottom	True	y3	-0.0059361	0.0097872	0.54417	8069		-0.0067992	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_topbottom	True	late	-0.0089704	0.0084444	0.2881	8193		-0.01185	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_topbottom	True	change	-0.0109	0.006886	0.11345	8192		-0.014399	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_topbottom	True	trajectory	-0.00044825	0.0013341	0.73688	8554		-0.0035568	7.0 p/mh_p_cbcl.tsv
totprob	pls2_topbottom	True	base	0.0089605	0.011076	0.4185	8715		0.008718	7.0 p/mh_p_cbcl.tsv
totprob	pls2_topbottom	True	y3	-0.011199	0.012223	0.35956	8069		-0.010276	7.0 p/mh_p_cbcl.tsv
totprob	pls2_topbottom	True	late	-0.013319	0.012022	0.26791	8188		-0.01242	7.0 p/mh_p_cbcl.tsv
totprob	pls2_topbottom	True	change	-0.019918	0.0093827	0.033767	8187		-0.018574	7.0 p/mh_p_cbcl.tsv
totprob	pls2_topbottom	True	trajectory	-0.0014505	0.0016424	0.37714	8553		-0.0092536	7.0 p/mh_p_cbcl.tsv
internal	pls2_topbottom	True	base	0.01096	0.0097408	0.26053	8715		0.01216	7.0 p/mh_p_cbcl.tsv
internal	pls2_topbottom	True	y3	-0.0058378	0.010447	0.57632	8069		-0.0062098	7.0 p/mh_p_cbcl.tsv
internal	pls2_topbottom	True	late	-0.014833	0.0097804	0.12938	8190		-0.01658	7.0 p/mh_p_cbcl.tsv
internal	pls2_topbottom	True	change	-0.021321	0.0081529	0.0089176	8189		-0.023834	7.0 p/mh_p_cbcl.tsv
internal	pls2_topbottom	True	trajectory	-0.0019221	0.0014597	0.1879	8554		-0.013542	7.0 p/mh_p_cbcl.tsv
external	pls2_topbottom	True	base	0.00026745	0.010402	0.97949	8715		0.00027661	7.0 p/mh_p_cbcl.tsv
external	pls2_topbottom	True	y3	-0.0078268	0.010746	0.46639	8069		-0.0081387	7.0 p/mh_p_cbcl.tsv
external	pls2_topbottom	True	late	-0.0092393	0.0096512	0.33841	8186		-0.010597	7.0 p/mh_p_cbcl.tsv
external	pls2_topbottom	True	change	-0.010017	0.0078246	0.2005	8185		-0.011488	7.0 p/mh_p_cbcl.tsv
external	pls2_topbottom	True	trajectory	5.1877e-05	0.0014894	0.97221	8554		0.00037027	7.0 p/mh_p_cbcl.tsv
depress	pls2_topbottom	True	base	0.0024016	0.0071662	0.73753	8715		0.0036106	7.0 p/mh_p_cbcl.tsv
depress	pls2_topbottom	True	y3	-0.015127	0.0083276	0.069294	8069		-0.020363	7.0 p/mh_p_cbcl.tsv
depress	pls2_topbottom	True	late	-0.0089199	0.0077821	0.25171	8182		-0.01263	7.0 p/mh_p_cbcl.tsv
depress	pls2_topbottom	True	change	-0.0098796	0.0069095	0.15276	8181		-0.013989	7.0 p/mh_p_cbcl.tsv
depress	pls2_topbottom	True	trajectory	-0.00061811	0.0012394	0.61799	8552		-0.0051973	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_topbottom	True	base	0.0072543	0.0078983	0.35837	8715		0.0099176	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_topbottom	True	y3	9.0873e-05	0.0080516	0.99099	8069		0.00012571	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_topbottom	True	late	-0.0096918	0.0071114	0.17293	8186		-0.014927	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_topbottom	True	change	-0.012557	0.0060579	0.03818	8185		-0.019341	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_topbottom	True	trajectory	-0.0012379	0.0011457	0.2799	8553		-0.01123	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_topbottom	True	base	-0.0056572	0.0065505	0.3878	8715		-0.0093418	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_topbottom	True	y3	-0.0055254	0.0065341	0.39776	8070		-0.0093878	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_topbottom	True	late	-0.016148	0.0058982	0.0061845	8193		-0.029694	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_topbottom	True	change	-0.014628	0.005308	0.0058537	8192		-0.026899	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_topbottom	True	trajectory	-0.00095375	0.0010382	0.35827	8554		-0.0096055	7.0 p/mh_p_cbcl.tsv
adhd	pls2_topbottom	True	base	0.014634	0.0087819	0.095632	8715		0.017994	7.0 p/mh_p_cbcl.tsv
adhd	pls2_topbottom	True	y3	0.01053	0.0087998	0.23144	8070		0.01332	7.0 p/mh_p_cbcl.tsv
adhd	pls2_topbottom	True	late	0.0025291	0.0078103	0.74608	8192		0.003574	7.0 p/mh_p_cbcl.tsv
adhd	pls2_topbottom	True	change	-0.0062741	0.0064237	0.32871	8191		-0.0088662	7.0 p/mh_p_cbcl.tsv
adhd	pls2_topbottom	True	trajectory	-0.0018932	0.0012027	0.11545	8554		-0.016653	7.0 p/mh_p_cbcl.tsv
opposit	pls2_topbottom	True	base	0.0040389	0.007617	0.59594	8715		0.0057275	7.0 p/mh_p_cbcl.tsv
opposit	pls2_topbottom	True	y3	-0.0073286	0.0077113	0.34192	8069		-0.010693	7.0 p/mh_p_cbcl.tsv
opposit	pls2_topbottom	True	late	-0.0032912	0.0066432	0.62031	8193		-0.0055397	7.0 p/mh_p_cbcl.tsv
opposit	pls2_topbottom	True	change	-0.0059421	0.005581	0.28702	8192		-0.010002	7.0 p/mh_p_cbcl.tsv
opposit	pls2_topbottom	True	trajectory	-0.00011771	0.0010904	0.91404	8554		-0.0011564	7.0 p/mh_p_cbcl.tsv
conduct	pls2_topbottom	True	base	0.00055979	0.0073273	0.9391	8715		0.00081466	7.0 p/mh_p_cbcl.tsv
conduct	pls2_topbottom	True	y3	-0.00056682	0.007411	0.93903	8069		-0.00084406	7.0 p/mh_p_cbcl.tsv
conduct	pls2_topbottom	True	late	-0.0032889	0.006696	0.6233	8187		-0.0053936	7.0 p/mh_p_cbcl.tsv
conduct	pls2_topbottom	True	change	-0.0036039	0.0057112	0.52802	8186		-0.0059101	7.0 p/mh_p_cbcl.tsv
conduct	pls2_topbottom	True	trajectory	-0.00023346	0.0011105	0.83348	8554		-0.002234	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_topbottom	True	base	0.015248	0.024727	0.53746	8715		0.0065602	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_topbottom	True	y3	-0.014185	0.025672	0.58056	8068		-0.0060714	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_topbottom	True	late	-0.03179	0.024358	0.19185	8163		-0.014341	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_topbottom	True	change	-0.042173	0.019007	0.026499	8162		-0.019024	7.0 p/mh_p_cbcl.tsv
