gene	PLS1	PLS2	C1	C3
STOM	-5.78891	-2.07332	-0.658034	-0.330519
STOML1	-12.3858	1.68309	-0.854581	0.243415
STON1	2.37523	-1.11978	0.130739	-0.501451
STON2	-6.41699	0.903553	-0.794787	-0.150434
STOX2	3.57346	-0.403403	0.325843	0.168376
STPG1	10.6797	1.62448	0.823448	0.239199
STRADA	8.50119	0.432875	0.750902	0.00348254
STRAP	-7.5013	0.369515	-0.507353	0.351326
STRBP	8.10156	0.767241	0.825518	0.162404
STRIP1	-3.14449	2.63027	-0.683882	0.307504
STRIP2	-0.939454	0.0262295	-0.150879	0.0443645
STRN	16.6235	-0.899831	0.913471	-0.0429706
STS	12.3901	0.454634	0.888661	0.184692
STT3B	-4.95271	-3.02488	-0.526336	-0.133359
STUM	-22.433	0.29081	-0.946558	0.0670018
STX12	-7.93765	3.10917	-0.785351	0.0576362
STX17-AS1	-8.44835	2.15251	-0.870576	-0.196327
STX19	4.05638	3.22394	0.567689	0.5283
STX1A	-7.20315	6.74758	-0.731127	0.550521
STX1B	3.81473	0.633304	0.702171	0.098431
STX2	-2.14117	-1.12935	-0.616427	-0.137181
STX7	-2.77189	1.05704	-0.453937	-0.0803966
STX8	3.11072	1.26413	0.625743	0.0343093
STXBP1	3.40267	2.89011	0.594408	0.369687
STXBP3	-2.37281	-2.0622	-0.461677	-0.507937
STXBP4	-1.92245	-0.663899	-0.51684	-0.523089
STXBP5	-1.89724	1.60784	-0.156647	0.0752089
STXBP5L	15.9683	4.48055	0.794773	0.283646
STXBP6	-2.21797	2.85387	-0.295285	0.0882714
STYK1	-16.0692	4.90322	-0.830809	0.37631
STYXL1	-5.21307	-0.422118	-0.487274	-0.218389
SUB1	-20.6793	-0.138448	-0.916828	-0.0288744
SUCO	-2.3301	-1.02995	-0.585143	-0.263755
SUGP2	19.464	1.64707	0.835802	0.0211207
SUGT1P3	-2.25383	0.308738	-0.648892	0.0159111
SULF1	-3.49113	-1.12663	-0.41893	-0.468165
SULF2	-16.6884	-2.28081	-0.868179	-0.137982
SULT1C4	-1.81071	0.257409	-0.399215	-0.32805
SUMF1	-18.1715	-2.33251	-0.861229	-0.0794182
SUMF2	3.02244	-2.28097	0.472047	-0.164467
SUMO2	-5.44071	2.08618	-0.619758	0.143247
SUMO3	-17.6937	-0.069319	-0.89928	0.0564808
SUN1	7.8755	2.8879	0.293916	0.115302
