gene	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	U_ds25_thinning	rank_ds25	decile_ds25
LOC105378853	5.5771	5.3574	5.0174	0.018217	367	10
IGF1	5.4245	5.3567	5.4083	0.014047	368	10
MRPS2	5.2783	5.3565		0.017842	369	10
RUNDC3A	5.9166	5.3558	4.5567	0.0095691	370	10
ZNF222	4.9066	5.3468	5.7462	0.011834	371	10
GTF3C4	5.691	5.3429		0.020811	372	10
OCRL	5.5896	5.3427		0.017341	373	10
TUBA1B	5.6811	5.342	4.9134	0.011924	374	10
FLJ20021	5.6411	5.3414	4.9749	0.016303	375	10
MRM3	5.5105	5.3369	5.0896	0.021736	376	10
MBD1	5.5345	5.3323		0.017328	377	10
EPHA10	5.5723	5.3181	4.8944	0.0092059	378	10
SERINC3	5.5075	5.3148	5.0051	0.020624	379	10
OCA2	5.3952	5.3102	5.2793	0.014888	380	10
SLC30A3	5.3996	5.3094	5.2146	0.017254	381	10
B4GALT5	5.6253	5.3081	4.998	0.013288	382	10
LCLAT1	5.5557	5.3006	5.1113	0.014411	383	10
ARHGAP12	5.7332	5.2967	4.7861	0.0090789	384	10
STX1A	5.3348	5.2793	5.2664	0.017625	385	10
TMEM130	5.3786	5.2788	5.1658	0.012286	386	10
JAZF1	5.4541	5.2725	4.9875	0.017268	387	10
GFOD1	5.0818	5.2698	5.4093	0.013137	388	10
ZNF721	5.4652	5.2684		0.017377	389	10
MAPK13	5.3723	5.2682	5.1098	0.020674	390	10
GPX3	5.3305	5.2623	5.2244	0.021662	391	10
ADGRF5	5.4561	5.2603	5.0264	0.018463	392	10
PBX1	5.3927	5.26	5.164	0.018442	393	10
RWDD2A	5.4592	5.26		0.019165	394	10
MEIS3	5.382	5.2575	5.12	0.0065908	395	10
CHN1	5.1888	5.2572	5.3244	0.014919	396	10
MTCH1	5.7155	5.2552	4.6319	0.011657	397	10
S1PR2	5.3036	5.2425	5.1959	0.017277	398	10
GPN1	5.5593	5.2379		0.01862	399	10
BBC3	5.3422	5.2365	5.1385	0.022313	400	10
TWISTNB	5.2101	5.2361		0.017247	401	10
TMX3	5.3161	5.233	5.0485	0.022594	402	10
SPINT2	5.3248	5.2325	5.0932	0.015131	403	10
FGF22	5.437	5.2301	4.8948	0.017398	404	10
LIN37	5.4096	5.2224		0.017835	405	10
LRFN2	5.3974	5.2218	5.0557	0.020246	406	10
GNAZ	5.3733	5.2209	5.1357	0.016771	407	10
SPON2	5.4806	5.2148	4.8583	0.016073	408	10
AMIGO2	5.4512	5.2094	4.8028	0.010392	409	10
NECTIN1	5.545	5.2081	4.9728	0.016909	410	10
CYHR1	5.4429	5.2078	4.9108	0.015098	411	10
FADS3	5.5583	5.2054	4.7254	0.013605	412	10
XKR6	4.5233	5.2038	5.4977	0.0072132	413	10
MBOAT7	5.2707	5.2007	5.2312	0.010926	414	10
HCN3	5.3261	5.1965	5.0918	0.02028	415	10
HIVEP1	5.4421	5.1956		0.020815	416	10
PRKAR1B	5.423	5.1857		0.020834	417	10
TGOLN2	5.4456	5.1854	4.8202	0.016585	418	10
USP43	5.3083	5.1826		0.023501	419	10
YTHDF2	5.3815	5.1807	4.8245	0.016647	420	10
CCDC85A	5.3355	5.1794	4.8918	0.018156	421	10
FAM13A	5.1712	5.1719	5.1976	0.012975	422	10
