gene	dCT + CT|DK	dCT alone|DK	NSPN PLS2	AHBA C3	AHBA C1	snRNAseq PC1	snRNAseq PC1 (U01)	dCT + CT|HCP	dCT alone|HCP
ACSF2	-0.604499	-1.77158	-3.01036	-0.127451	-0.599923	-0.00174187	-3.27853e-05	0.0193012	-0.732926
ACSF3	2.76713	3.15602	7.9035	0.108143	0.713036	0.000595998	0.00165105	0.767893	1.45797
ACSL1	1.12749	1.60998	0.902051	-0.302196	0.106712	-0.00346306	0.001584	-0.844163	-0.520565
ACSL3	3.11338	3.67068	4.13951	0.435091	0.636498	-0.00421891	0.0123436	3.94337	4.26054
ACSL4	3.50186	0.803731	2.20702	0.254717	-0.799368	0.00544831	0.01203	3.89834	1.33804
ACSL5			3.23735			0.000275658	0.000684114		
ACSL6	-2.8841	0.127202	-3.22702	-0.137818	0.887439	-0.00160629	0.00931167	-3.0262	-0.781172
ACSM1			-1.36582			-3.41319e-05	0.000142764		
ACSM2			1.16992						
ACSM2A			-2.39582			1.89778e-05	0.000128897		
ACSM2B						7.47216e-06	3.52379e-05		
ACSM3			-1.86038			0.000302133	0.00130244		
ACSM4			1.5217			0.00013952	0.000361759		
ACSM5			1.45052			-6.17857e-05	0.000104762		
ACSS1			-2.58195			-0.0164211	-0.00314282		
ACSS2	0.637626	1.46724	0.309607	-0.12045	0.601315	-0.00717046	0.00177667	-0.138805	0.352756
ACSS3	-0.149961	-1.29639	1.15467	-0.117827	-0.413957	-0.00638304	0.000405539	1.30821	0.950861
ACTA1	3.4296	2.36208	5.6402	0.150651	-0.480078	0.000240875	0.000321843	1.56349	0.717101
ACTA2	-0.832247	-2.18283	-2.20106			0.000217688	0.000920873		
ACTA2-AS1						-0	-0		
ACTB	-0.60097	-2.1979	-3.81493	0.0661299	-0.696017	0.00228991	-0.0251681	1.30163	-0.10996
ACTBL2			-2.99138			3.77704e-07	3.50309e-07		
ACTC1	4.09829	1.7006	5.10198	0.113429	-0.579401	1.50897e-05	4.13965e-05	2.93	1.62382
ACTG1	5.08508	-0.407611	-2.76583	0.0670056	-0.820902			-0.00901492	-0.99232
ACTG1P4	-1.26272	-2.43095	-2.92641	-0.1248	-0.645906			-1.99406	-2.29905
ACTG2			-0.945615			2.85539e-05	0.000163215		
ACTL10			1.46764			-1.2633e-05	-2.70953e-05		
ACTL6A	-2.96862	-2.84626	0.876441	-0.534981	-0.067252	-0.000770188	-0.000326572	-2.76655	-2.63568
ACTL6B	1.94506	2.45321	2.0496			0.00929898	0.00547645		
ACTL7A			-0.648441			2.59187e-07	1.60059e-06		
ACTL7B			2.58663			4.77898e-06	1.89094e-06		
ACTL8	-1.56404	-0.688791	2.0962			7.47774e-05	9.45985e-05		
ACTL9			-0.297585			-0	-0		
ACTN1	2.11297	1.71643	1.26827	0.502475	-0.361712	0.0170071	0.012503	1.31543	0.763549
ACTN2	5.66634	4.22185	8.57308	0.473425	-0.196432	0.00286736	0.00570093	3.96528	3.67641
ACTN3	1.84814	1.76258	0.838907						
ACTN4	1.50739	2.36962	6.62641	0.155271	0.797521			0.216745	1.00415
ACTR10	2.59875	-0.717454	0.304113	0.110479	-0.830775	0.00457882	0.00698109	0.297375	-0.977221
ACTR1A	2.7781	0.243753	1.59313	0.198537	-0.64792	0.00195623	0.000735161	-0.27751	-1.47992
ACTR1B	0.398628	1.84422	4.28645	0.358572	0.742778			0.404928	1.26925
ACTR2			-2.94082			0.00781873	0.0154719		
ACTR3	-0.755522	-2.00041	-5.74259	-0.0450955	-0.580938	0.00228205	0.00415443	-3.25503	-3.63666
ACTR3B	2.965	-0.158711	-2.37601	0.140261	-0.8387	0.00966629	0.0121476	1.09838	-0.486426
ACTR3BP2			-0.347049						
ACTR3C	-2.55829	-3.69878		-0.442554	-0.40153	0.00247406	0.00218516	-5.29568	-6.22176
ACTR5	0.377699	1.32737	-1.71581	0.232855	0.0794278	0.000305723	0.000728909	2.6135	2.99865
ACTR6	0.763704	1.1115	-0.050994			0.00164743	0.00321015		
ACTR8			1.34877			0.000557609	0.000704005		
ACTRT1			-3.429			6.79837e-06	5.82415e-07		
ACTRT2			0.941161			-0	-0		
ACTRT3						0.000112774	9.33381e-05		
ACVR1	-4.3978	-0.783541	-4.02792	-0.355435	0.407023	0.00532244	0.00492865	-5.65793	-3.70835
ACVR1B			-0.133722			0.00965625	0.00704576		
ACVR1C	-1.06998	1.00826	-0.731313	-0.142884	0.787935	-0.00022434	0.00409633	-0.55638	0.619448
ACVR2A	0.292244	-0.684179	-1.97886	0.147479	-0.756903	0.0128046	0.0135657	2.00484	1.11336
