gene,gene_original,PLS1_z,PLS2_z
WDR36,WDR36,-1.970975,5.968297
AARS,AARS,3.220798,5.9676
HIF1AN,HIF1AN,-0.226055,5.966773
TRPV2,TRPV2,-12.365621,5.963031
CNGB3,CNGB3,4.79045,5.959365
ZBBX,ZBBX,0.717543,5.953843
KCNH7,KCNH7,-8.899059,5.952195
HDC,HDC,-9.201577,5.949488
EXOSC4,EXOSC4,-10.128644,5.946655
FBXO48,FBXO48,-0.258037,5.941882
ADO,ADO,7.049267,5.9407
REXO1L1,REXO1L1,-3.406302,5.940051
PPP3CA,PPP3CA,6.146757,5.9385
HSPA12B,HSPA12B,-2.540256,5.937169
HTR5A,HTR5A,0.019555,5.932566
LCN15,LCN15,-5.370605,5.924269
DEDD,DEDD,-7.919297,5.922999
ZKSCAN5,ZKSCAN5,-1.461872,5.922723
SPATS2,SPATS2,-5.581221,5.916529
SIPA1L2,SIPA1L2,5.196837,5.91054
HSPB3,HSPB3,-11.436859,5.899357
NT5DC2,NT5DC2,-10.207865,5.897874
CIB1,CIB1,-13.020474,5.896019
SULT2B1,SULT2B1,-1.333046,5.895367
GLRA3,GLRA3,-11.691063,5.894393
LKAAEAR1,C20orf201,-8.340903,5.893121
DEPDC5,DEPDC5,4.186508,5.89128
MFSD3,MFSD3,-6.404782,5.890081
LANCL3,LANCL3,1.834911,5.884463
MTMR9,MTMR9,-6.339332,5.877174
BYSL,BYSL,-13.934317,5.852382
CAMK1G,CAMK1G,-7.770768,5.85075
ASB2,ASB2,-3.388802,5.849094
C3orf58,C3orf58,9.004514,5.847193
CRIP2,CRIP2,-15.513618,5.84665
AC010896.1,AC010896.1,-8.211157,5.846221
LRRTM4,LRRTM4,-7.571589,5.845073
C2CD2,C2CD2,-2.171614,5.843844
GALK1,GALK1,-2.041527,5.842258
ASPDH,ASPDH,5.389969,5.838555
FARSA,FARSA,-9.368086,5.837816
LOC100130000,LOC100130000,-5.304022,5.834612
SPDEF,SPDEF,-3.04905,5.834519
LINC00339,LINC00339,1.359542,5.834138
CD3G,CD3G,-2.280216,5.830053
KCNJ3,KCNJ3,15.530145,5.824566
CDKN2B,CDKN2B,-2.952745,5.823343
TANGO6,TMCO7,-8.513783,5.82257
MINDY3,C10orf97,7.642144,5.81929
PGAM5,PGAM5,-13.115778,5.813925
TGFBRAP1,TGFBRAP1,0.721674,5.795494
POC1A,WDR51A,-12.492574,5.795476
LCN8,LCN8,-3.669386,5.794899
GRASP,GRASP,-8.633669,5.789207
ATP2A2,ATP2A2,11.779959,5.788289
EXTL1,EXTL1,-4.270951,5.786486
ZBTB46,ZBTB46,-5.603223,5.784848
TMPO,TMPO,3.038125,5.784733
MB21D2,C3orf59,-5.708395,5.783273
PSMC1,PSMC1,-8.908747,5.783177
DYNC1LI1,DYNC1LI1,-4.877752,5.781486
THAP7,THAP7,1.071149,5.780408
ZNF576,ZNF576,0.011048,5.780193
RAB3D,RAB3D,-5.956824,5.777642
ITPKA,ITPKA,-7.948806,5.774555
EIF4E1B,EIF4E1B,8.557429,5.773803
KCNB1,KCNB1,11.476618,5.768826
MFSD12,C19orf28,-9.911302,5.768285
C20orf151,C20orf151,-3.532116,5.763768
LOC727967,LOC727967,-10.905285,5.763677
GPR26,GPR26,-2.500671,5.76184
RFPL1,RFPL1,10.055529,5.759437
TNFAIP8L1,TNFAIP8L1,-11.544501,5.758839
SBNO1,SBNO1,3.806213,5.752536
IKBKG,IKBKG,-2.102605,5.745609
ZNF564,ZNF564,-2.854227,5.742331
AC110814.1,AC110814.1,0.532795,5.740054
STK38L,STK38L,9.311262,5.735515
P2RX5,P2RX5,-14.933253,5.735206
CHRNA6,CHRNA6,-5.835101,5.731235
MPV17L2,MPV17L2,-12.686802,5.728678
RFPL3,RFPL3,5.531331,5.726444
CDC6,CDC6,-8.959143,5.726138
CHRM3,CHRM3,-7.108485,5.722377
TMEM160,TMEM160,-5.568793,5.721289
SIAE,SIAE,1.018528,5.720034
LINC00202,LINC00202,-5.037952,5.711253
FBXO28,FBXO28,4.923564,5.705438
EHD3,EHD3,-4.719749,5.698628
NEDD9,NEDD9,2.55624,5.693332
LOC729680,LOC729680,-2.095785,5.689165
CITED4,CITED4,-4.883975,5.687995
DPP9,DPP9,-1.652276,5.683027
ARMC8,ARMC8,5.020331,5.674861
INF2,INF2,-0.344684,5.66146
COMMD5,COMMD5,-5.245762,5.659769
KLF12,KLF12,9.788763,5.659063
BHMT,BHMT,-9.943106,5.64371
LOC100289861,LOC100289861,8.189836,5.643644
ACTA1,ACTA1,-10.168729,5.640198
KCNK3,KCNK3,-7.293774,5.636455
CDKL1,CDKL1,6.754927,5.631177
CALML3,CALML3,-1.342741,5.62934
DHX36,DHX36,-5.404702,5.626535
C6orf136,C6orf136,0.650572,5.624126
