method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	BIP_eur	raw	BIPeur	0p1	slope_PC3	full	8596	7198	1350	1449	0.0111848041028838	0.0400255312496028	0.779942072450096	0.0057926786608883	0.0134446109323938	0.666586877527445	-0.0053921254419954	0.0422130798825901	-0.127735892689966	0.89835798449168
CT	BIP_eur	raw	BIPeur	0p5	slope_PC3	full	8596	7198	1350	1449	0.0156876905130522	0.041385544492866	0.704692203927891	0.0065469688972247	0.0138599529070978	0.636680245863391	-0.0091407216158274	0.0436271320826621	-0.209519195497612	0.834042952069614
CT	BIP_eur	raw	BIPeur	1	slope_PC3	full	8596	7198	1350	1449	0.0054524985833917	0.0416857763888601	0.895950031587449	0.0039955123650179	0.0139231716634582	0.774144808961158	-0.0014569862183738	0.0439302553284426	-0.0331658946090963	0.97354229531094
CT	BIP_eur	raw	BIPeur	1e-5	slope_PC3	full	8596	7198	1350	1449	0.0237674020248227	0.0335806896383314	0.479191593510923	-0.0047497280897815	0.0116947421991337	0.684650500897291	-0.0285171301146042	0.035553406831524	-0.802092757235267	0.422499304292577
CT	BIP_eur	raw	BIPeur	5e-8	slope_PC3	full	8596	7198	1350	1449	-0.0104903211654746	0.0332822675199851	0.752656716982689	0.0133981714505024	0.0118114012580939	0.256689344538898	0.023888492615977	0.0352953521247238	0.676816951182745	0.498522101639741
CT	BIP_eur	zanc	BIPeur	0p001	baseline_thickness	EUR	4308	3601	691	726	-0.0331266550874142	0.0390740500256063	0.3968217739616	0.0294628919879759	0.0167470378299875	0.0786130450404387	0.0625895470753901	0.042522318839469	1.47192224656607	0.141041875353147
CT	BIP_eur	zanc	BIPeur	0p01	baseline_thickness	EUR	4308	3601	691	726	-0.0104347813773013	0.0397127124750222	0.792809914619352	0.0432784022767154	0.016888832097708	0.0104309149502763	0.0537131836540168	0.0431719039160678	1.24416990639196	0.213437036920076
CT	BIP_eur	zanc	BIPeur	0p05	baseline_thickness	EUR	4308	3601	691	726	-0.003092832887854	0.0418247942703906	0.941071933084706	0.0385691797974924	0.0171496341285276	0.0245739782733885	0.0416620126853464	0.0452311209808326	0.921091756779616	0.357002523585342
CT	BIP_eur	zanc	BIPeur	0p1	baseline_thickness	EUR	4308	3601	691	726	-0.0188375506003025	0.0420710890183197	0.654458816571266	0.0297359347597303	0.0171979736769629	0.0838875925472786	0.0485734853600329	0.0454735204619975	1.06817076985772	0.285443487396929
CT	BIP_eur	zanc	BIPeur	0p5	baseline_thickness	EUR	4308	3601	691	726	-0.0082949176473444	0.0427726291045129	0.846282640023024	0.023686744869587	0.0173561652062466	0.172417950349287	0.0319816625169314	0.0461859026949719	0.692455070720381	0.488651591935726
CT	BIP_eur	zanc	BIPeur	1	baseline_thickness	EUR	4308	3601	691	726	-0.0101019406374707	0.0428337922158308	0.813620644248729	0.0208231746659112	0.0173591836010459	0.230393379765846	0.0309251153033819	0.0462410045414302	0.668781217234893	0.503635049966112
CT	BIP_eur	zanc	BIPeur	1e-5	baseline_thickness	EUR	4308	3601	691	726	-0.074745507936539	0.0392923552711613	0.0575139621153974	-0.01789928352226	0.0167838441608378	0.286288098706873	0.056846224414279	0.0427131866128105	1.33088230877229	0.183227739244993
CT	BIP_eur	zanc	BIPeur	5e-8	baseline_thickness	EUR	4308	3601	691	726	-0.0476691630584267	0.0382549764936379	0.213117692019049	-0.038649537778889	0.0167046785145101	0.0207403666040275	0.0090196252795377	0.0417378543859008	0.216101795653987	0.828908400055148
CT	BIP_eur	zanc	BIPeur	0p001	baseline_thickness	full	8596	7198	1350	1449	-0.0560442388803013	0.0273271895923121	0.0404578832753787	0.0216628130698507	0.0115968350831386	0.0618034492936384	0.077707051950152	0.02969315125007	2.61700253016994	0.0088705683777246
