GENE	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	AHBA_C3
7108	4.9298	4.6518	4.3383	0.260899
6574	4.5802	4.6515	4.7296	0.409805
7139	4.6887	4.6502	4.591	0.371697
10273	4.8583	4.6496	NA	NA
9392	4.5358	4.6492	4.7426	0.557585
115950	4.5333	4.6469	4.7373	0.312645
128434	4.8708	4.6437	4.3001	0.426423
27430	4.3661	4.6398	4.9313	0.366897
79656	4.7124	4.6383	4.5596	0.520644
5297	4.832	4.6335	4.3433	0.43752
154197	4.6845	4.6333	4.6664	0.468124
11098	4.9989	4.6295	4.1571	0.0661145
389792	4.5495	4.6286	4.7263	0.423761
220001	4.7035	4.6265	4.5333	-0.00139564
10905	4.7403	4.6244	4.518	0.513538
9607	4.7928	4.6234	4.563	0.662491
142940	4.8873	4.6195	4.1847	NA
5067	4.7087	4.6194	4.5229	0.297085
9399	4.7809	4.614	4.4818	0.243415
84948	4.7773	4.6105	NA	NA
643836	4.8323	4.6103	NA	-0.0737486
51263	5.0012	4.6098	4.1601	0.125405
260293	4.7096	4.605	4.5581	0.415715
11218	4.9814	4.6043	NA	NA
5590	4.815	4.6042	NA	NA
55764	4.6662	4.6029	4.5749	0.543454
100170841	4.8832	4.6027	4.2204	0.449372
29844	4.9946	4.5983	4.1049	0.185969
390637	4.8343	4.5953	4.33	0.174914
9466	4.7523	4.5858	NA	NA
285704	4.8353	4.5846	4.327	0.164536
5591	4.7827	4.5814	NA	NA
221303	4.8085	4.5773	4.4201	0.594043
197	4.6514	4.575	NA	0.352333
7248	4.8524	4.573	4.2226	NA
1606	4.8716	4.573	4.2559	0.431008
79705	4.7372	4.5688	4.5083	0.634787
135295	4.6498	4.5672	4.5616	0.251274
84954	4.8933	4.5609	4.2365	0.414877
9218	4.3012	4.5588	4.8305	0.448224
22954	4.0967	4.5584	4.9837	0.312052
10811	4.6148	4.5577	4.4782	NA
79722	4.8317	4.5543	4.3109	0.316203
5092	4.9605	4.5517	3.9963	0.0801836
389072	4.7543	4.5492	4.4444	NA
917	4.5914	4.549	NA	0.56438
66005	4.6475	4.5488	4.5381	0.0655203
148304	4.791	4.5444	NA	0.309196
63982	4.9799	4.5402	3.9696	0.221192
84102	4.5715	4.5388	NA	NA
51343	4.8115	4.5363	4.2675	0.138498
5471	4.6978	4.5355	4.4469	0.462084
23322	4.6184	4.5348	NA	NA
90523	4.6319	4.5332	4.4899	0.600786
285533	4.7248	4.5325	4.2349	NA
80700	4.7705	4.5321	NA	0.279697
57799	4.1665	4.5308	4.8546	0.475087
8927	4.6675	4.5299	4.3729	0.647099
4861	4.5141	4.5286	4.5584	NA
192683	4.1615	4.5281	4.7884	0.332553
8718	4.3149	4.5262	4.5241	0.223097
140459	4.6906	4.523	4.295	0.271765
8864	4.7268	4.5193	NA	0.320783
23647	4.7441	4.5181	NA	NA
9825	4.4113	4.513	NA	NA
23327	4.6538	4.5125	4.4211	0.315343
4843	4.484	4.51	4.5535	0.521606
100129583	4.799	4.5088	4.1565	0.312703
23031	4.7569	4.5075	4.273	0.442891
55659	4.5974	4.5072	NA	0.351677
23336	4.5733	4.5072	4.3558	0.109001
55827	4.5465	4.5067	4.4389	0.409626
108	4.7181	4.5008	4.2227	0.133309
126526	4.5598	4.4977	NA	NA
5276	4.6482	4.4913	4.3615	0.400269
140767	4.5489	4.491	NA	NA
7259	4.1031	4.4879	4.8122	0.395234
6622	4.695	4.4809	4.2044	0.206217
29068	4.55	4.4796	4.4827	0.333245
150763	4.536	4.4782	NA	NA
1602	4.5268	4.4781	4.4036	0.225837
342184	3.9779	4.4741	5.1767	0.276443
11092	4.7446	4.4723	4.3019	0.20719
147381	4.5493	4.4723	4.3494	0.202477
5792	4.4699	4.471	4.6931	0.105866
51603	4.4051	4.4682	4.5452	0.347108
23673	4.5353	4.4651	4.4506	0.0576362
29993	4.825	4.4651	4.2193	0.280329
29909	4.4617	4.4523	NA	NA
9091	4.633	4.4516	4.2666	0.248974
256130	4.6252	4.4478	4.2043	0.0429079
5987	4.6787	4.4409	4.179	0.140713
57531	4.4373	4.4371	NA	0.0973325
11095	4.6323	4.4351	4.1793	0.427525
6252	4.6581	4.4343	NA	NA
5887	4.6096	4.4327	NA	NA
79068	4.5401	4.4325	NA	NA
3301	4.7261	4.4324	4.009	0.278004
345222	4.4869	4.4315	4.5694	0.332539
9244	4.7634	4.431	3.9922	0.359063
51172	3.8897	4.4301	4.9377	0.421228
22883	4.4827	4.4244	NA	NA
81832	4.7638	4.4207	NA	0.357424
495	4.0719	4.4207	4.6492	0.27519
57617	4.5309	4.4165	4.2767	0.216935
705	4.7346	4.4083	4.0211	0.229004
8411	4.5512	4.4082	NA	NA
221955	4.4654	4.4032	NA	0.42217
57801	4.4736	4.402	4.4032	0.173535
55814	4.252	4.3991	NA	NA
133522	3.8915	4.3985	4.9643	0.321685
