readout	phenotype	arm	method	comparable	value_dk	value_hcp	se_dk	se_hcp	p_dk	p_hcp	n_dk	n_hcp
PRS beta ALZ_IGAP_noAPOE	baseline_thickness	EUR	CT	yes	0.034863	-0.033079	0.016955	0.015301	0.31858	0.24545	4308	4308
PRS beta ALZ_IGAP_noAPOE	baseline_thickness	EUR	PRSCS	yes	0.015946	0.010829	0.016598	0.016596	0.33674	0.5141	4308	4308
PRS beta ALZ_IGAP_noAPOE	baseline_thickness	EUR	SBayesR	yes	0.0029954	-0.00080921	0.015829	0.015828	0.84992	0.95923	4308	4308
PRS beta ALZ_IGAP_noAPOE	baseline_thickness	EUR	SBayesRC	yes	-0.013011	-0.014436	0.015647	0.015645	0.4057	0.35619	4308	4308
PRS beta ALZ_IGAP_noAPOE	global_slope	EUR	CT	yes	-0.039075	-0.031033	0.016303	0.016427	0.13265	0.47158	4308	4308
PRS beta ALZ_IGAP_noAPOE	global_slope	EUR	PRSCS	yes	-0.029802	-0.020485	0.015599	0.015727	0.056143	0.19279	4308	4308
PRS beta ALZ_IGAP_noAPOE	global_slope	EUR	SBayesR	yes	-0.024825	-0.011653	0.014906	0.015023	0.095893	0.43798	4308	4308
PRS beta ALZ_IGAP_noAPOE	global_slope	EUR	SBayesRC	yes	-0.005298	0.0082813	0.014732	0.014845	0.71915	0.57697	4308	4308
PRS beta ALZ_noAPOE	baseline_thickness	EUR	CT	yes	-0.0341	-0.034847	0.015263	0.015262	0.20422	0.17968	4308	4308
PRS beta ALZ_noAPOE	baseline_thickness	EUR	PRSCS	yes	0.017883	0.016979	0.015298	0.015297	0.24246	0.26708	4308	4308
PRS beta ALZ_noAPOE	baseline_thickness	EUR	SBayesR	yes	0.0088717	0.0064543	0.015326	0.015325	0.56272	0.67366	4308	4308
PRS beta ALZ_noAPOE	baseline_thickness	EUR	SBayesRC	yes	0.005741	0.0040837	0.015336	0.015334	0.70816	0.79001	4308	4308
PRS beta ALZ_noAPOE	global_slope	EUR	CT	yes	-0.035347	-0.032628	0.01446	0.014565	0.11638	0.2011	4308	4308
PRS beta ALZ_noAPOE	global_slope	EUR	PRSCS	yes	-0.024332	-0.022229	0.01444	0.014544	0.092046	0.12648	4308	4308
PRS beta ALZ_noAPOE	global_slope	EUR	SBayesR	yes	-0.02864	-0.019685	0.014435	0.014546	0.047311	0.17603	4308	4308
