GENE	C1	C2	C3	C1+	C2+	C3+	C1-	C2-	C3-
121601	0.392149	0.113291	-0.365862	0.392149	0.113291	0	0	0	0.365862
203859	0.687851	0.275481	0.389102	0.687851	0.275481	0.389102	0	0	0
50636	0.306998	0.398642	-0.0704215	0.306998	0.398642	0	0	0	0.0704215
3730	-0.717654	-0.0888439	-0.11115	0	0	0	0.717654	0.0888439	0.11115
8125	0.198462	-0.348119	-0.438568	0.198462	0	0	0	0.348119	0.438568
81611	-0.679442	-0.0260325	-0.131911	0	0	0	0.679442	0.0260325	0.131911
84168	0.637668	-0.354433	-0.101867	0.637668	0	0	0	0.354433	0.101867
118429	0.191745	0.0529566	-0.29259	0.191745	0.0529566	0	0	0	0.29259
301	-0.36622	0.222311	-0.150182	0	0.222311	0	0.36622	0	0.150182
311	-0.702691	-0.480897	0.0915278	0	0	0.0915278	0.702691	0.480897	0
302	-0.523594	0.12291	-0.465605	0	0.12291	0	0.523594	0	0.465605
306	0.489906	0.468923	-0.141747	0.489906	0.468923	0	0	0	0.141747
307	-0.0823584	0.63716	-0.449842	0	0.63716	0	0.0823584	0	0.449842
308	0.424326	0.144293	-0.644209	0.424326	0.144293	0	0	0	0.644209
309	0.63966	0.328095	0.177305	0.63966	0.328095	0.177305	0	0	0
8906	0.197096	-0.542352	0.258331	0.197096	0	0.258331	0	0.542352	0
1174	-0.638146	0.0900872	0.209421	0	0.0900872	0.209421	0.638146	0	0
8905	0.610279	0.165456	0.100678	0.610279	0.165456	0.100678	0	0	0
161	-0.808146	0.0170355	0.220746	0	0.0170355	0.220746	0.808146	0	0
163	-0.765075	0.0699559	-0.0482028	0	0.0699559	0	0.765075	0	0.0482028
1175	-0.624964	0.0882636	0.147753	0	0.0882636	0.147753	0.624964	0	0
8120	-0.691123	0.058009	0.407752	0	0.058009	0.407752	0.691123	0	0
10947	-0.710804	0.243	0.441118	0	0.243	0.441118	0.710804	0	0
1176	-0.888908	0.206257	0.0585442	0	0.206257	0.0585442	0.888908	0	0
